# q, R, dR, dq
1.499999999999999944e-01 3.114869668552964734e-05 2.941238373539941648e-07 7.499999999999999722e-03
1.600000000000000033e-01 2.076042113223940317e-05 1.412102072186470913e-07 8.000000000000000167e-03
1.700000000000000122e-01 1.309876496322273908e-05 1.054761620116719185e-07 8.500000000000000611e-03
1.799999999999999933e-01 7.772224585244903085e-06 7.336045183982000969e-08 8.999999999999999320e-03
1.900000000000000022e-01 4.266351177701459071e-06 5.794586570551276843e-08 9.500000000000001499e-03
2.000000000000000111e-01 2.192760612079372333e-06 4.675511033212775243e-08 1.000000000000000194e-02
2.099999999999999922e-01 8.275625737018312737e-07 1.349770992368066356e-08 1.050000000000000065e-02
2.200000000000000011e-01 4.309688646412339138e-07 9.363661452308737968e-09 1.100000000000000110e-02
2.300000000000000100e-01 4.626934009701131024e-07 1.000331980848109738e-08 1.150000000000000154e-02
2.399999999999999911e-01 6.910444862359473206e-07 1.155741943550787282e-08 1.200000000000000025e-02
2.500000000000000000e-01 9.808025202697586364e-07 1.259409970287036850e-08 1.250000000000000069e-02
2.600000000000000089e-01 1.293813334343708275e-06 1.114373236755011266e-08 1.300000000000000114e-02
2.700000000000000178e-01 1.536465360901461746e-06 1.435254570628803046e-08 1.350000000000000158e-02
2.800000000000000266e-01 1.695274700575588549e-06 1.665302388785748456e-08 1.400000000000000203e-02
2.899999999999999800e-01 1.787694219659949780e-06 1.678630975888687202e-08 1.449999999999999900e-02
2.999999999999999889e-01 1.777896971168458841e-06 1.231051430392813602e-08 1.499999999999999944e-02
3.166666666666666519e-01 1.635653790377096258e-06 1.158128016234555028e-08 1.583333333333333467e-02
3.400000000000000244e-01 1.274819055099871580e-06 1.279213580052766507e-08 1.700000000000000122e-02
3.599999999999999867e-01 9.108116844763108282e-07 1.348619547309675318e-08 1.799999999999999864e-02
3.800000000000000044e-01 5.845337739193883897e-07 1.072470044630588390e-08 1.900000000000000300e-02
4.000000000000000222e-01 3.410365896653479831e-07 7.580395210113245127e-09 2.000000000000000389e-02
4.199999999999999845e-01 1.775633274325939751e-07 4.242235070013095287e-09 2.100000000000000130e-02
4.400000000000000022e-01 8.139788852961389102e-08 3.647500891339030156e-09 2.200000000000000219e-02
4.600000000000000200e-01 3.195138142352535264e-08 2.786867732993997529e-09 2.300000000000000308e-02
4.799999999999999822e-01 1.202056738414058356e-08 2.357429054415220762e-09 2.400000000000000050e-02
5.000000000000000000e-01 6.031974516064196559e-09 2.419666432216609328e-09 2.500000000000000139e-02
5.200000000000000178e-01 6.954552552555965474e-09 2.630360534813105580e-09 2.600000000000000228e-02
5.400000000000000355e-01 9.028788843634189075e-09 2.594094746186277114e-09 2.700000000000000316e-02
5.600000000000000533e-01 9.019287446751742176e-09 2.476926191758083710e-09 2.800000000000000405e-02
5.799999999999999600e-01 7.643311918184883686e-09 2.332295961831644740e-09 2.899999999999999800e-02
6.099999999999999867e-01 5.452973341325642988e-09 1.973992482207949378e-09 3.049999999999999933e-02
6.400000000000000133e-01 5.089648802274377066e-09 2.901219536730026882e-09 3.200000000000000067e-02
6.600000000000000311e-01 6.330026013594041816e-08 3.334898987123738241e-06 3.300000000000000155e-02
6.800000000000000488e-01 2.926856256336716351e-09 2.902305605406441238e-09 3.400000000000000244e-02
